_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
2865,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Pan,Hallulla especial,1149,1398,"1284,8"
2866,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Pan,Hallulla especial,1189,1399,"1293,8"
2867,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Pan,Hallulla especial,1100,1398,1229
2868,8,Supermercado,Penco,35,2013-08-26T00:00:00,Pan,Hallulla especial,1398,1490,1444
2869,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Pan,Hallulla integral,1149,1398,"1274,43"
2870,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Pan,Hallulla integral,1149,1689,"1378,85"
2871,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Pan,Hallulla integral,1149,1398,"1273,5"
2872,8,Supermercado,Penco,35,2013-08-26T00:00:00,Pan,Hallulla integral,1398,1490,1444
2873,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Harina,Harina con polvos de hornear,445,799,"624,38"
2874,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Harina,Harina con polvos de hornear,445,799,"652,78"
2875,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Harina,Harina con polvos de hornear,440,759,"614,44"
2876,8,Supermercado,Penco,35,2013-08-26T00:00:00,Harina,Harina con polvos de hornear,440,759,"628,78"
2877,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Harina,Harina sin polvos de hornear,439,799,"619,92"
2878,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Harina,Harina sin polvos de hornear,445,799,"653,53"
2879,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Harina,Harina sin polvos de hornear,440,759,"614,44"
2880,8,Supermercado,Penco,35,2013-08-26T00:00:00,Harina,Harina sin polvos de hornear,440,759,"628,78"
2881,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3790,5199,"4633,6"
2882,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3590,5790,"4372,64"
2883,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3690,5199,"4226,33"
2884,8,Supermercado,Penco,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Huachalomo,3690,5290,"4726,33"
2885,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Huevos,Huevos,1380,1659,"1544,33"
2886,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Huevos,Huevos,1380,1659,"1560,38"
2887,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Huevos,Huevos,1294,1659,1515
2888,8,Supermercado,Penco,35,2013-08-26T00:00:00,Huevos,Huevos,1290,1599,"1390,75"
2889,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Leche,Leche Fluida Descremada,595,739,"642,96"
2890,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Leche,Leche Fluida Descremada,589,739,"650,02"
2891,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Leche,Leche Fluida Descremada,565,729,"640,55"
2892,8,Supermercado,Penco,35,2013-08-26T00:00:00,Leche,Leche Fluida Descremada,565,790,"639,56"
2893,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Leche,Leche Fluida Entera,595,739,"651,65"
2894,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Leche,Leche Fluida Entera,589,739,"653,82"
2895,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Leche,Leche Fluida Entera,565,729,"648,73"
2896,8,Supermercado,Penco,35,2013-08-26T00:00:00,Leche,Leche Fluida Entera,565,729,634
2897,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Leche,Leche en Polvo Descremada,2485,4139,"3564,5"
2898,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Leche,Leche en Polvo Descremada,3099,4139,"3589,96"
2899,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Leche,Leche en Polvo Descremada,3190,3929,3557
2900,8,Supermercado,Penco,35,2013-08-26T00:00:00,Leche,Leche en Polvo Descremada,2850,3990,"3518,17"
2901,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Leche,Leche en Polvo Entera,2419,4569,"3439,81"
2902,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Leche,Leche en Polvo Entera,2500,4539,"3601,68"
2903,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Leche,Leche en Polvo Entera,2350,3989,"3331,56"
