id_time,id_city,id_product,spot,min,max,average,_id
7,2,11,Feria libre,300,350,333.33,325
7,1,11,Feria libre,200,200,200.0,326
7,2,31,Feria libre,400,800,600.0,327
7,1,31,Feria libre,600,800,700.0,328
7,1,31,Feria libre,350,400,375.0,329
7,2,13,Feria libre,350,450,400.0,330
7,1,13,Feria libre,450,500,475.0,331
7,1,13,Feria libre,350,350,350.0,332
7,2,14,Feria libre,300,400,350.0,333
7,1,14,Feria libre,350,400,375.0,334
7,1,14,Feria libre,300,300,300.0,335
7,1,33,Feria libre,350,400,375.0,336
7,2,34,Feria libre,350,500,416.67,337
7,1,34,Feria libre,400,500,450.0,338
7,1,34,Feria libre,300,350,325.0,339
7,1,18,Feria libre,1300,1600,1450.0,340
7,2,18,Feria libre,1800,1800,1800.0,341
7,1,19,Feria libre,1500,1700,1600.0,342
7,2,19,Feria libre,1600,1800,1700.0,343
7,1,19,Feria libre,900,1300,1100.0,344
7,2,20,Feria libre,400,450,416.67,345
7,1,32,Feria libre,350,400,375.0,346
7,1,32,Feria libre,300,300,300.0,347
7,1,21,Feria libre,300,350,325.0,348
7,1,22,Feria libre,500,600,550.0,349
7,2,22,Feria libre,500,700,600.0,350
7,1,22,Feria libre,400,450,425.0,351
7,1,23,Feria libre,400,400,400.0,352
7,2,23,Feria libre,500,500,500.0,353
7,1,24,Feria libre,350,400,375.0,354
7,2,24,Feria libre,400,450,416.67,355
7,1,24,Feria libre,300,300,300.0,356
7,2,25,Feria libre,2000,2000,2000.0,357
7,2,26,Feria libre,600,700,633.33,358
7,1,26,Feria libre,700,800,750.0,359
7,1,26,Feria libre,400,450,425.0,360
7,2,27,Feria libre,600,900,750.0,361
7,1,27,Feria libre,700,900,800.0,362
7,1,27,Feria libre,450,600,525.0,363
7,1,28,Feria libre,50,55,52.5,364
7,2,28,Feria libre,58,58,58.0,365
7,1,29,Feria libre,350,400,375.0,366
7,1,30,Feria libre,300,400,350.0,367
8,1,2,Feria libre,800,800,800.0,368
8,1,2,Feria libre,600,600,600.0,369
8,1,3,Feria libre,600,600,600.0,370
8,2,3,Feria libre,600,600,600.0,371
8,1,3,Feria libre,300,350,325.0,372
8,1,4,Feria libre,250,300,275.0,373
8,2,4,Feria libre,250,330,290.0,374
8,2,4,Feria libre,180,200,190.0,375
8,1,4,Feria libre,200,220,210.0,376
8,2,6,Feria libre,600,600,600.0,377
8,1,6,Feria libre,800,800,800.0,378
8,2,6,Feria libre,400,450,425.0,379
8,1,8,Feria libre,500,600,550.0,380
8,1,8,Feria libre,350,400,375.0,381
8,2,9,Feria libre,500,500,500.0,382
8,1,10,Feria libre,500,600,550.0,383
8,2,10,Feria libre,500,700,600.0,384
8,2,10,Feria libre,350,400,375.0,385
8,1,11,Feria libre,300,350,325.0,386
8,2,11,Feria libre,350,400,375.0,387
8,1,11,Feria libre,250,250,250.0,388
8,1,31,Feria libre,500,600,550.0,389
8,2,31,Feria libre,700,800,766.67,390
8,1,31,Feria libre,300,400,350.0,391
8,1,13,Feria libre,400,400,400.0,392
8,2,13,Feria libre,500,600,550.0,393
8,1,13,Feria libre,300,300,300.0,394
8,1,14,Feria libre,350,350,350.0,395
8,2,14,Feria libre,500,600,550.0,396
8,1,14,Feria libre,300,300,300.0,397
8,2,15,Feria libre,600,600,600.0,398
8,1,33,Feria libre,350,350,350.0,399
8,2,33,Feria libre,600,600,600.0,400
8,1,34,Feria libre,300,350,325.0,401
8,2,34,Feria libre,500,600,550.0,402
8,2,18,Feria libre,1200,1400,1300.0,403
8,1,18,Feria libre,1500,1600,1550.0,404
8,1,19,Feria libre,1500,1700,1600.0,405
8,1,32,Feria libre,350,400,375.0,406
8,2,32,Feria libre,400,500,462.5,407
8,1,32,Feria libre,300,330,315.0,408
8,1,21,Feria libre,250,250,250.0,409
8,2,21,Feria libre,300,350,325.0,410
8,2,22,Feria libre,500,600,550.0,411
8,1,22,Feria libre,550,600,575.0,412
8,1,22,Feria libre,450,450,450.0,413
8,1,24,Feria libre,400,400,400.0,414
8,2,24,Feria libre,350,500,425.0,415
8,1,24,Feria libre,300,350,325.0,416
8,1,26,Feria libre,800,800,800.0,417
8,2,26,Feria libre,750,1000,862.5,418
8,2,26,Feria libre,550,750,650.0,419
8,2,27,Feria libre,700,900,800.0,420
8,1,27,Feria libre,800,900,850.0,421
8,2,27,Feria libre,500,600,550.0,422
8,1,27,Feria libre,600,600,600.0,423
8,1,28,Feria libre,58,66,62.0,424
8,2,28,Feria libre,58,83,69.0,425
8,1,28,Feria libre,40,45,42.5,426
8,1,29,Feria libre,500,500,500.0,427
8,2,29,Feria libre,550,600,575.0,428
8,1,29,Feria libre,200,300,250.0,429
8,2,30,Feria libre,300,300,300.0,430
9,1,1,Feria libre,100,150,125.0,431
9,1,2,Feria libre,800,1000,900.0,432
9,1,2,Feria libre,700,700,700.0,433
9,1,3,Feria libre,600,700,650.0,434
9,1,3,Feria libre,500,500,500.0,435
9,1,4,Feria libre,300,330,315.0,436
9,1,4,Feria libre,200,250,225.0,437
9,1,5,Feria libre,350,400,375.0,438
9,1,5,Feria libre,300,300,300.0,439
9,1,6,Feria libre,600,700,650.0,440
9,1,6,Feria libre,500,500,500.0,441
9,1,8,Feria libre,500,600,550.0,442
9,1,8,Feria libre,350,400,375.0,443
9,1,9,Feria libre,600,800,700.0,444
9,1,9,Feria libre,400,450,425.0,445
9,1,10,Feria libre,500,600,550.0,446
9,1,10,Feria libre,400,400,400.0,447
9,1,11,Feria libre,350,400,375.0,448
9,1,11,Feria libre,250,300,275.0,449
9,1,31,Feria libre,600,800,700.0,450
9,1,13,Feria libre,400,450,425.0,451
9,1,14,Feria libre,350,350,350.0,452
9,1,34,Feria libre,450,500,475.0,453
9,1,34,Feria libre,400,400,400.0,454
9,1,19,Feria libre,1500,1700,1600.0,455
9,1,19,Feria libre,1000,1200,1100.0,456
9,1,32,Feria libre,400,600,500.0,457
9,1,32,Feria libre,300,330,315.0,458
9,1,21,Feria libre,300,350,325.0,459
9,1,22,Feria libre,600,700,650.0,460
9,1,22,Feria libre,500,500,500.0,461
9,1,23,Feria libre,400,500,450.0,462
9,1,23,Feria libre,330,330,330.0,463
9,1,24,Feria libre,450,450,450.0,464
9,1,24,Feria libre,350,350,350.0,465
9,1,25,Feria libre,1500,2000,1750.0,466
9,1,25,Feria libre,1200,1300,1250.0,467
9,1,26,Feria libre,1000,1200,1100.0,468
9,1,26,Feria libre,750,800,775.0,469
9,1,27,Feria libre,700,900,800.0,470
9,1,27,Feria libre,500,600,550.0,471
9,1,28,Feria libre,56,62,59.0,472
9,1,29,Feria libre,400,500,450.0,473
9,1,29,Feria libre,200,300,250.0,474
9,1,30,Feria libre,350,400,375.0,475
10,1,1,Feria libre,100,100,100.0,476
10,2,1,Feria libre,100,200,150.0,477
10,1,2,Feria libre,800,900,850.0,478
10,2,2,Feria libre,900,1000,950.0,479
10,2,2,Feria libre,600,700,650.0,480
10,1,3,Feria libre,500,500,500.0,481
10,2,3,Feria libre,500,500,500.0,482
10,2,3,Feria libre,350,400,375.0,483
10,1,4,Feria libre,210,250,230.0,484
10,2,4,Feria libre,200,250,232.5,485
10,1,4,Feria libre,150,180,165.0,486
10,2,4,Feria libre,150,180,165.0,487
10,2,5,Feria libre,400,450,425.0,488
10,2,6,Feria libre,500,500,500.0,489
10,1,6,Feria libre,500,550,525.0,490
10,2,8,Feria libre,450,600,512.5,491
10,1,8,Feria libre,500,600,550.0,492
10,1,8,Feria libre,350,400,375.0,493
10,1,9,Feria libre,600,700,650.0,494
10,2,9,Feria libre,700,800,750.0,495
10,1,10,Feria libre,450,500,475.0,496
10,2,10,Feria libre,500,700,600.0,497
10,2,10,Feria libre,500,500,500.0,498
10,1,11,Feria libre,300,350,325.0,499
10,2,11,Feria libre,400,500,470.0,500
10,2,11,Feria libre,350,400,375.0,501
10,1,31,Feria libre,600,600,600.0,502
10,2,31,Feria libre,600,900,775.0,503
10,1,13,Feria libre,400,450,425.0,504
10,2,13,Feria libre,500,500,500.0,505
10,1,14,Feria libre,350,400,375.0,506
10,2,14,Feria libre,500,500,500.0,507
10,1,33,Feria libre,350,350,350.0,508
10,1,34,Feria libre,350,400,375.0,509
10,2,34,Feria libre,400,500,466.67,510
10,2,18,Feria libre,1100,1200,1150.0,511
10,1,19,Feria libre,1300,1400,1350.0,512
10,1,19,Feria libre,1000,1100,1050.0,513
10,1,20,Feria libre,500,500,500.0,514
10,2,20,Feria libre,500,500,500.0,515
10,2,32,Feria libre,500,500,500.0,516
10,1,21,Feria libre,300,300,300.0,517
10,2,21,Feria libre,300,350,325.0,518
10,2,22,Feria libre,500,600,550.0,519
10,1,22,Feria libre,600,600,600.0,520
10,2,22,Feria libre,400,400,400.0,521
10,1,22,Feria libre,450,500,475.0,522
10,1,23,Feria libre,50,500,275.0,523
10,2,23,Feria libre,500,550,525.0,524
10,2,23,Feria libre,300,400,350.0,525
10,1,24,Feria libre,400,450,425.0,526
10,2,24,Feria libre,400,500,437.5,527
10,2,24,Feria libre,300,350,325.0,528
10,1,24,Feria libre,350,350,350.0,529
10,2,25,Feria libre,2500,2800,2675.0,530
10,2,26,Feria libre,700,1000,875.0,531
10,1,26,Feria libre,800,1000,900.0,532
10,1,26,Feria libre,350,400,375.0,533
10,2,26,Feria libre,500,600,550.0,534
10,2,27,Feria libre,600,900,750.0,535
10,1,27,Feria libre,800,900,850.0,536
10,2,27,Feria libre,400,500,466.67,537
10,1,27,Feria libre,600,700,650.0,538
