_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
155,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 2a (guarda),150,200,175
156,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Choclo Americano $/unidad Primera,350,400,375
157,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Choclo Americano $/unidad Segunda,300,330,315
158,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Primera,600,700,650
159,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Segunda,500,500,500
160,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Primera,250,300,275
161,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Segunda,200,200,200
162,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Primera,700,800,750
163,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Segunda,500,500,500
164,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Lechuga Escarola $/unidad Primera,900,1000,950
165,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,250,300,275
166,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Primera,500,600,550
167,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Segunda,300,350,325
168,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Manzana Fuji $/kilo Primera,350,400,375
169,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Manzana Granny Smith $/kilo Primera,300,350,325
170,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Manzana Royal Gala $/kilo Primera,300,350,325
171,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Naranja Navel Late $/kilo Primera,300,400,350
172,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Naranja Navel Late $/kilo Segunda,200,250,225
173,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Naranja Thompson $/kilo Primera,300,400,350
174,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Naranja Thompson $/kilo Segunda,200,200,200
175,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Palta Hass $/kilo Segunda,1200,1500,1350
176,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Palta Negra de La Cruz $/kilo Primera,1300,1400,1350
177,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Papa Desire $/kilo Primera,300,350,325
178,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Pera Packam's Triumph $/kilo Primera,500,600,550
179,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Pimiento Cuatro cascos verde $/unidad Primera,400,500,450
180,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Pimiento Cuatro cascos verde $/unidad Segunda,300,300,300
181,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Pl·tano Sin Especificar $/kilo Primera,400,400,400
182,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Primera,500,600,550
183,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Primera,800,1000,900
184,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Zanahoria Sin Especificar $/unidad Primera,45,50,"47,5"
185,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Zapallo Camote $/kilo 1a (cosecha),350,400,375
186,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Primera,350,400,375
187,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Segunda,300,330,315
188,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Ajo Chino $/unidad 1a (guarda),100,100,100
189,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Ajo Chino $/unidad 1a (guarda),100,150,125
190,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Apio Americano $/unidad Primera,700,800,750
191,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Primera,500,600,550
192,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Primera,600,600,600
193,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Segunda,350,450,400
194,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Segunda,450,500,475
195,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),230,250,240
196,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),250,250,250
197,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 2a (guarda),50,200,125
198,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 2a (guarda),200,200,200
199,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Choclo Americano $/unidad Primera,400,500,450
200,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Primera,500,600,550
201,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Primera,600,600,600
202,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Segunda,450,500,475
203,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Primera,300,350,325
204,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Primera,400,500,450
205,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Segunda,300,350,325
206,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Primera,700,900,800
207,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Primera,800,800,800
208,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Lechuga Escarola $/unidad Primera,600,800,700
209,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,280,300,290
210,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,300,350,"316,67"
211,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 2a amarillo,200,250,225
212,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Primera,500,600,550
213,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Primera,500,600,550
214,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Segunda,250,350,300
215,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Manzana Fuji $/kilo Primera,350,400,375
216,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Manzana Fuji $/kilo Primera,400,500,450
217,7,Feria libre,Talca,34,19/08/2013,Fruta-Hortaliza,Manzana Granny Smith $/kilo Primera,300,350,325
218,7,Feria libre,CuricÛ,34,19/08/2013,Fruta-Hortaliza,Manzana Granny Smith $/kilo Primera,400,500,450
